"ResourceID","Geo","Period","Label1","Label2","Label3","Value","Unit","Measure","Multiplier","Date"
"CPACT1",NA,"2020-02-01",NA,NA,NA,14444449.6634,"Gigabyte","Broadband usage",0,2020-02-01
"CPACT1",NA,"2020-02-02",NA,NA,NA,15313909.5312,"Gigabyte","Broadband usage",0,2020-02-02
"CPACT1",NA,"2020-02-03",NA,NA,NA,12900541.0065,"Gigabyte","Broadband usage",0,2020-02-03
"CPACT1",NA,"2020-02-04",NA,NA,NA,12534839.0629,"Gigabyte","Broadband usage",0,2020-02-04
"CPACT1",NA,"2020-02-05",NA,NA,NA,13594435.5249,"Gigabyte","Broadband usage",0,2020-02-05
"CPACT1",NA,"2020-02-06",NA,NA,NA,15707288.1386,"Gigabyte","Broadband usage",0,2020-02-06
"CPACT1",NA,"2020-02-07",NA,NA,NA,13582417.8538,"Gigabyte","Broadband usage",0,2020-02-07
"CPACT1",NA,"2020-02-08",NA,NA,NA,15212926.5131,"Gigabyte","Broadband usage",0,2020-02-08
"CPACT1",NA,"2020-02-09",NA,NA,NA,14860145.462,"Gigabyte","Broadband usage",0,2020-02-09
"CPACT1",NA,"2020-02-10",NA,NA,NA,12524474.0991,"Gigabyte","Broadband usage",0,2020-02-10
"CPACT1",NA,"2020-02-11",NA,NA,NA,12424323.7467,"Gigabyte","Broadband usage",0,2020-02-11
"CPACT1",NA,"2020-02-12",NA,NA,NA,13584307.4987,"Gigabyte","Broadband usage",0,2020-02-12
"CPACT1",NA,"2020-02-13",NA,NA,NA,13087915.0826,"Gigabyte","Broadband usage",0,2020-02-13
"CPACT1",NA,"2020-02-14",NA,NA,NA,12958769.9486,"Gigabyte","Broadband usage",0,2020-02-14
"CPACT1",NA,"2020-02-15",NA,NA,NA,14958261.4554,"Gigabyte","Broadband usage",0,2020-02-15
"CPACT1",NA,"2020-02-16",NA,NA,NA,15291403.5028,"Gigabyte","Broadband usage",0,2020-02-16
"CPACT1",NA,"2020-02-17",NA,NA,NA,12704627.7642,"Gigabyte","Broadband usage",0,2020-02-17
"CPACT1",NA,"2020-02-18",NA,NA,NA,12274381.0461,"Gigabyte","Broadband usage",0,2020-02-18
"CPACT1",NA,"2020-02-19",NA,NA,NA,11816032.9833,"Gigabyte","Broadband usage",0,2020-02-19
